"NOC","TEER","original_cluster","sil_width","new_cluster","critical_thinking","complex_problem_solving","judgment_and_decision_making","speaking","social_perceptiveness","active_listening","reading_comprehension","writing","coordination","persuasion","systems_analysis","systems_evaluation","monitoring","active_learning","time_management","management_of_personnel_resources","negotiation","management_of_financial_resources","learning_strategies","instructing","service_orientation","management_of_material_resources","mathematics","operations_analysis","science","operations_monitoring","operation_and_control","quality_control_analysis","technology_design","programming","equipment_selection","equipment_maintenance","installation","repairing","troubleshooting"
"73200: Residential and commercial installers and servicers","3","Builders","0.142","Builders","-0.576","-0.508","-0.476","-0.887","-0.81","-0.908","-1.004","-1.01","-0.202","-0.422","-0.349","-0.358","-0.325","-0.42","-0.411","-0.05","-0.342","-0.191","-0.434","-0.154","-0.259","-0.041","-0.168","-0.206","-0.43","0.809","1.094","0.854","0.195","-0.737","1.233","1.003","2.342","1.176","1.03"
"12100: Executive assistants","2","Communicators","0.436","Communicators","-0.576","-0.642","-0.293","0.83","0.147","1.025","1.162","1.102","0.525","0.227","0.133","-0.005","-0.521","0.155","0.295","-0.562","0.68","-0.183","0.345","0.218","1.71","-0.11","0.515","-0.988","-0.571","-1.318","-1.271","-0.621","0.097","0.66","-0.972","-0.935","-0.532","-0.747","-1.573"
"94104: Inspectors and testers, mineral and metal processing","4","Practical equipment operators","0.374","Practical equipment operators","-0.576","-0.642","-0.293","-0.862","-0.693","-1.028","-0.603","0.225","-0.746","-1.061","-1.07","-0.974","-0.861","-1.473","-0.418","-1.042","-1.062","-0.451","-1.534","-1.627","-1.119","-0.386","0.245","-0.097","-0.235","0.615","0.838","2.116","-0.297","-0.142","0.403","0.025","-0.532","-0.107","0.254"
"94133: Inspectors and graders, textile, fabric, fur and leather products manufacturing","4","Practical equipment operators","0.374","Practical equipment operators","-0.576","-0.642","-0.293","-0.862","-0.693","-1.028","-0.603","0.225","-0.746","-1.061","-1.07","-0.974","-0.861","-1.473","-0.418","-1.042","-1.062","-0.451","-1.534","-1.627","-1.119","-0.386","0.245","-0.097","-0.235","0.615","0.838","2.116","-0.297","-0.142","0.403","0.025","-0.532","-0.107","0.254"
"94211: Assemblers and inspectors of other wood products","4","Practical equipment operators","0.374","Practical equipment operators","-0.576","-0.642","-0.293","-0.862","-0.693","-1.028","-0.603","0.225","-0.746","-1.061","-1.07","-0.974","-0.861","-1.473","-0.418","-1.042","-1.062","-0.451","-1.534","-1.627","-1.119","-0.386","0.245","-0.097","-0.235","0.615","0.838","2.116","-0.297","-0.142","0.403","0.025","-0.532","-0.107","0.254"
"94123: Lumber graders and other wood processing inspectors and graders","4","Practical equipment operators","0.223","Practical equipment operators","-0.576","-0.642","-0.442","-0.862","-0.841","-0.876","-0.843","0.005","-0.593","-0.55","-0.707","-0.974","-0.861","-0.791","-0.589","-0.802","-0.567","-0.451","-1.129","-1.103","-0.871","-0.386","0.38","-0.436","-0.144","0.522","0.754","1.066","-0.661","-0.142","0.208","-0.058","-0.532","-0.261","0.071"
"12200: Accounting technicians and bookkeepers","2","Service focused","0.445","Service focused","-0.576","-0.642","-1.21","-0.862","-0.989","-0.724","-0.342","-0.003","-0.746","-1.061","-1.07","-0.974","-0.861","-0.659","-0.418","-1.042","-0.805","0.064","-1.534","-1.376","-0.086","-0.684","1.823","-1.202","-0.936","-1.519","-1.439","-2.3","-1.813","-0.396","-1.159","-0.935","-0.532","-0.901","-1.573"
"53122: Painters, sculptors and other visual artists","3","Service focused","0.191","Service focused","-0.576","-0.642","-0.59","-1.129","-0.693","-1.028","-0.843","-0.425","-1.711","-0.795","-0.822","-0.974","-1.571","0.441","-0.76","-1.724","-1.3","0.064","-0.723","-2.152","-0.871","-0.386","-0.793","1.008","-1.104","-0.344","-0.145","-0.184","-0.297","0.111","0.403","-0.935","-0.532","-0.901","-0.287"
"72403: Railway carmen/women","2","Builders","0.369","Builders","-0.576","-0.936","-0.888","-1.129","-0.989","-1.307","-1.084","-0.425","-0.746","-1.061","-0.115","-0.005","-1.202","-0.659","-0.76","-0.341","-1.062","-0.451","-0.21","-0.579","-1.119","-0.386","-0.793","-0.543","-0.053","1.002","1.149","1.276","0.491","-1.199","1.575","2.586","2.936","2.939","2.81"
"75210: Boat and cable ferry operators and related occupations","5","Practical equipment operators","0.169","Practical equipment operators","-0.674","-0.181","0.038","-0.387","-0.527","-0.717","-1.011","-0.506","-0.229","-0.209","-0.663","-0.56","0.085","-0.476","-0.656","0.274","-0.059","-0.362","-0.196","0.204","0.079","-0.21","-0.516","-0.994","-0.286","1.198","1.64","0.711","-0.166","-0.495","0.856","1.25","-0.261","1.019","1.047"
"83100: Underground production and development miners","3","Practical equipment operators","0.411","Practical equipment operators","-0.674","-0.657","-1.004","-1.129","-0.792","-1.214","-1.505","-1.828","-0.652","-1.15","-1.305","-1.29","-0.738","-1.026","-1.007","-0.574","-1.141","-0.705","-1","-0.572","-1.298","-0.677","-0.959","-0.763","-0.693","1.327","1.804","0.297","-1.429","-1.199","1.32","1.839","0.988","1.604","1.651"
"94201: Electronics assemblers, fabricators, inspectors and testers","4","Practical equipment operators","0.466","Practical equipment operators","-0.674","-0.936","-0.491","-1.218","-0.89","-1.02","-0.342","-0.284","-0.644","-1.15","-0.822","-0.967","-0.511","-1.209","-0.77","-0.882","-1.141","-0.794","-1.271","-1.103","-1.387","-0.684","-0.613","-0.252","0.008","0.997","0.838","1.349","-0.035","-0.234","0.731","0.721","0.538","0.537","0.682"
"75101: Material handlers","5","Technologists","0.263","Technologists","-0.677","-0.334","-0.384","-0.234","-0.105","-0.304","-0.342","-0.212","-0.158","0.273","-0.185","-0.321","-0.549","-0.326","-0.222","-0.212","0.269","0.036","-0.528","-0.288","-0.043","0.119","-0.089","-0.469","-0.54","0.122","0.67","-0.352","0.225","-0.288","0.143","0.185","-0.414","0.041","0.008"
"72320: Bricklayers","2","Practical equipment operators","0.499","Practical equipment operators","-0.683","-0.657","-0.797","-1.314","-0.709","-1.307","-1.171","-1.015","-0.229","-0.632","-0.981","-1.122","-1.098","-0.652","-0.295","-0.341","-0.554","-0.533","-0.915","-0.488","-0.864","-0.309","-0.004","-0.026","-0.52","0.682","0.722","0.504","-0.166","-1.199","1.31","0.879","-0.176","0.964","0.502"
"85102: Aquaculture and marine harvest labourers","5","Practical equipment operators","0.531","Practical equipment operators","-0.723","-0.506","-0.516","-1.196","-1.284","-1.237","-1.224","-1.258","-1","-1","-1.299","-0.964","-0.947","-0.659","-1.031","-0.516","-0.934","-0.513","-1.203","-0.904","-1.377","-0.397","-1.115","-0.926","0.038","0.662","1.071","0.286","-1.025","-1.199","1.575","1.344","-0.201","1.378","1.123"
"44101: Home support workers, caregivers and related occupations","4","Service focused","0.178","Service focused","-0.723","-0.653","-0.59","-0.717","0.851","0.15","-0.713","-0.214","-0.44","-0.171","-1.299","-1.206","-0.336","-0.384","-0.247","-1.143","-0.429","-0.575","0.335","0.595","1.71","-0.547","-0.907","-1.773","-0.144","-0.645","-0.863","-0.822","-1.222","-1.199","-1.159","-0.935","-0.532","-0.901","-0.477"
"92101: Water and waste treatment plant operators","2","Practical equipment operators","-0.017","Builders","-0.736","-0.506","-0.442","-0.717","-0.841","-0.724","-0.603","-0.425","-0.746","-0.928","-0.096","-0.121","0.729","-0.373","-0.418","-0.341","-0.805","-0.194","-0.744","-0.055","-0.995","0.177","0.391","-0.543","0.732","1.976","1.802","1.075","0.294","0.248","1.083","1.709","-0.136","1.659","1.532"
"84120: Specialized livestock workers and farm machinery operators","4","Practical equipment operators","0.422","Practical equipment operators","-0.737","-0.858","-0.931","-0.827","-0.834","-1.042","-1.184","-0.854","-0.642","-0.57","-0.386","-0.433","-0.541","-0.561","-1.063","-0.403","-0.787","-0.496","-0.396","-0.244","-0.89","-0.371","-0.806","-1.11","-0.036","0.596","0.89","0.225","-0.622","-0.699","0.457","0.562","-0.12","0.554","0.716"
"85100: Livestock labourers","5","Practical equipment operators","0.422","Practical equipment operators","-0.737","-0.858","-0.931","-0.827","-0.834","-1.042","-1.184","-0.854","-0.642","-0.57","-0.386","-0.433","-0.541","-0.561","-1.063","-0.403","-0.787","-0.496","-0.396","-0.244","-0.89","-0.371","-0.806","-1.11","-0.036","0.596","0.89","0.225","-0.622","-0.699","0.457","0.562","-0.12","0.554","0.716"
"62201: Funeral directors and embalmers","2","Sales and administration","0.084","Sales and administration","-0.789","-0.369","-0.392","0.734","1.086","0.636","-0.262","0.225","0.729","0.221","-0.268","-0.321","-0.161","-0.204","0.646","0.662","0.687","0.921","-0.196","0.204","1.538","0.755","-0.17","-0.02","0.181","0.033","-0.033","-0.263","-0.035","-0.403","-0.706","-0.722","-0.532","-0.687","-0.233"
"74200: Railway yard and track maintenance workers","4","Practical equipment operators","0.469","Practical equipment operators","-0.809","-0.574","-0.516","-1.263","-0.921","-0.946","-1.465","-1.144","-0.529","-1.327","-1.184","-0.974","-0.066","-1.077","-0.333","-0.516","-1.3","-0.647","-0.466","-0.768","-1.129","-0.397","-0.523","-0.935","-0.796","1.675","1.718","0.798","-0.464","-1.199","0.739","1.267","0.067","1.135","1.393"
"94105: Metalworking and forging machine operators","4","Practical equipment operators","-0.015","Builders","-0.809","-0.659","-0.745","-1.057","-0.909","-1.097","-0.718","-0.767","-0.758","-1.378","-0.521","-0.479","0.289","-0.659","-0.511","-0.336","-1.176","-0.641","-0.461","-0.511","-1.645","-0.541","-0.129","-0.039","-0.27","1.679","1.64","1.431","0.385","0.248","1.036","1.466","1.475","1.339","1.349"
"74204: Utility maintenance workers","4","Practical equipment operators","0.28","Practical equipment operators","-0.829","-0.419","-0.797","-1.177","-0.841","-1.354","-1.094","-0.837","-0.44","-0.928","-0.784","-0.802","-0.511","-0.751","-0.888","-0.651","-0.719","-0.406","-1.182","-0.579","-0.479","-0.635","-0.824","-0.988","-0.434","1.322","1.587","0.787","-0.156","-0.628","1.19","1.517","1.255","1.339","1.347"
"63210: Hairstylists and barbers","3","Service focused","0.513","Service focused","-0.87","-1.22","-0.28","-0.161","-0.148","0.162","-1.094","-1.197","-1.229","-0.417","-1.299","-1.332","-1.032","-0.384","-0.96","-0.802","-0.557","-0.708","-0.723","-1.103","0.925","-0.248","-0.772","0.456","-0.494","-0.931","-0.779","-1.242","-0.282","-0.797","0.114","-0.052","-0.532","-0.337","-0.477"
"33100: Dental assistants and dental laboratory assistants","3","Technologists","0.054","Technologists","-0.883","-0.369","-0.59","-0.706","-0.421","-0.281","-0.212","-0.319","-0.911","-0.672","-0.698","-1.09","-0.691","0.023","-0.418","-0.682","-0.429","-0.317","-0.06","0.333","-0.355","-0.11","-0.918","-0.543","0.382","0.414","0.262","0.336","0.294","-0.533","0.7","0.429","-0.532","0.463","0.071"
"94212: Plastic products assemblers, finishers and inspectors","4","Practical equipment operators","0.434","Practical equipment operators","-0.883","-0.642","-0.751","-0.995","-0.557","-1.028","-0.723","-0.214","-0.593","-0.928","-0.946","-0.974","-0.691","-1.616","-0.418","-0.461","-0.934","-0.317","-1.129","-0.579","-1.253","-0.248","-0.399","-0.65","-0.67","0.615","0.754","1.587","-0.479","-0.016","0.403","0.345","-0.532","0.136","0.159"
"94124: Woodworking machine operators","4","Practical equipment operators","0.29","Practical equipment operators","-0.883","-0.727","-0.981","-1.274","-1.267","-1.383","-1.154","-1.473","-1.241","-1.634","-0.64","-0.785","-0.159","-1.077","-0.689","-0.968","-1.419","-0.518","-0.867","-1.098","-1.836","-0.472","-0.129","0.019","-0.316","1.578","1.64","1.272","-0.275","0.513","1.185","1.507","0.94","1.499","1.393"
"72321: Insulators","2","Practical equipment operators","0.362","Practical equipment operators","-0.883","-0.789","-1.21","-1.129","-0.705","-1.167","-1.345","-1.53","-0.275","-0.55","-1.299","-1.206","-1.032","-0.945","-0.774","-0.922","-0.31","-0.451","-1.139","-0.841","-1.119","-0.11","-0.783","0.019","-0.754","0.329","0.748","0.219","-0.282","-1.199","0.302","-0.218","0.399","-0.024","0.443"
"94205: Machine operators and inspectors, electrical apparatus manufacturing","4","Practical equipment operators","0.487","Practical equipment operators","-0.883","-0.936","-0.293","-1.129","-0.989","-1.167","-0.472","-0.1","-0.593","-1.194","-0.822","-0.848","-0.691","-1.209","-0.589","-0.922","-1.062","-0.708","-1.406","-1.103","-1.253","-0.535","-0.274","-0.436","-0.053","0.708","0.838","1.385","-0.1","-0.407","0.599","0.345","0.667","0.296","0.436"
"94210: Furniture and fixture assemblers, finishers, refinishers and inspectors","4","Practical equipment operators","0.464","Practical equipment operators","-0.887","-0.642","-0.491","-1.04","-0.989","-1.214","-1.011","-0.793","-0.856","-0.891","-1.146","-0.89","-0.634","-0.93","-0.418","-0.501","-1.056","-0.362","-1","-0.928","-0.775","-0.302","-0.004","0.568","-0.581","0.873","0.886","1.422","-0.156","-0.326","1.122","0.721","-0.09","0.755","0.74"
"94153: Photographic and film processors","4","Builders","0.265","Builders","-0.895","-0.097","-0.59","-0.572","-0.693","-0.421","-0.342","-0.653","-1.076","0.227","0.133","-0.237","-0.521","-0.373","-0.418","-0.802","0.442","0.064","-0.466","-0.055","0.678","0.165","-1.042","-0.988","-0.235","1.389","1.149","1.494","0.855","1.717","1.575","1.306","0.281","0.866","1.174"
"72204: Telecommunications line and cable installers and repairers","2","Practical equipment operators","-0.061","Builders","-0.895","-0.097","-0.59","-0.862","-0.693","-1.307","-1.084","-0.881","-0.44","-1.061","-0.574","-0.722","-0.861","-0.659","-0.76","-1.263","-1.062","-0.451","-1","-1.376","-0.355","-0.684","-1.042","-0.311","-0.053","0.801","0.993","0.655","0.491","0.111","0.794","1.626","2.422","1.506","1.349"
"14405: Transportation route and crew schedulers","4","Communicators","0.326","Communicators","-0.895","-0.097","-0.293","1.097","-0.148","1.025","0.66","-0.003","1.796","-0.038","0.381","0.247","1.637","-0.109","1.72","-0.562","-0.072","-0.451","0.068","-0.055","0.409","-0.386","-0.793","-0.775","-0.936","-0.931","-1.271","-0.822","-0.297","-0.396","-1.159","-0.935","-0.532","-0.901","-0.667"
"72604: Railway traffic controllers and marine traffic regulators","2","Communicators","0.326","Communicators","-0.895","-0.097","-0.293","1.097","-0.148","1.025","0.66","-0.003","1.796","-0.038","0.381","0.247","1.637","-0.109","1.72","-0.562","-0.072","-0.451","0.068","-0.055","0.409","-0.386","-0.793","-0.775","-0.936","-0.931","-1.271","-0.822","-0.297","-0.396","-1.159","-0.935","-0.532","-0.901","-0.667"
"53110: Photographers","3","Technologists","0.299","Technologists","-0.895","-0.097","-0.293","0.541","-0.148","0.442","-0.603","-0.425","-0.44","0.227","-0.344","-0.47","-0.521","0.155","-0.418","0.121","0.185","-0.719","0.345","0.218","0.678","-0.386","-1.042","1.24","-0.053","0.027","0.023","0.017","0.491","0.111","0.794","0.192","0.281","-0.261","0.064"
"62021: Executive housekeepers","2","Technologists","0.04","Technologists","-0.895","-0.097","-0.59","-0.572","-0.148","-1.028","-0.843","-0.425","0.195","0.227","-0.574","-0.005","-0.152","-0.373","0.295","1.283","0.68","0.846","0.858","0.721","0.409","1.612","-0.793","-0.311","-1.104","-0.545","-0.3","0.857","-1.025","-1.199","0.403","0.499","-0.532","0.226","0.064"
"62024: Cleaning supervisors","2","Technologists","0.04","Technologists","-0.895","-0.097","-0.59","-0.572","-0.148","-1.028","-0.843","-0.425","0.195","0.227","-0.574","-0.005","-0.152","-0.373","0.295","1.283","0.68","0.846","0.858","0.721","0.409","1.612","-0.793","-0.311","-1.104","-0.545","-0.3","0.857","-1.025","-1.199","0.403","0.499","-0.532","0.226","0.064"
"94151: Camera, platemaking and other prepress occupations","4","Practical equipment operators","0.2","Practical equipment operators","-0.895","-0.279","-0.491","-0.765","-0.792","-0.825","-0.596","-0.793","-0.652","-0.113","-0.421","-0.476","-0.398","-0.373","-0.19","-0.882","-0.31","-0.54","-0.822","-0.404","-0.534","-0.118","-0.959","-0.62","-0.525","1.193","0.989","1.422","0.097","0.653","1.117","1.306","-0.176","1.071","0.921"
"64310: Travel counsellors","4","Communicators","0.462","Communicators","-0.895","-0.369","0.352","1.097","1.283","1.305","1.162","-0.003","-0.135","1.741","-0.574","-0.722","-0.861","0.155","-0.418","-1.485","0.918","0.311","-0.466","-0.327","2.474","-0.684","0.785","-0.543","-0.754","-1.318","-0.792","-2.081","0.097","0.386","-0.972","-0.935","-0.532","-0.901","-1.573"
"73401: Printing press operators","3","Practical equipment operators","0.339","Practical equipment operators","-0.895","-0.369","-0.293","-0.862","-0.989","-1.028","-0.603","-1.302","-0.44","-0.795","-0.822","-0.722","-0.152","-0.373","-0.076","-1.042","-1.3","-0.719","-1.278","-1.103","-1.656","0.165","-0.793","-0.775","-1.104","1.574","1.317","2.334","-0.661","-0.142","1.185","1.779","-0.276","1.813","1.525"
"94150: Plateless printing equipment operators","4","Practical equipment operators","0.339","Practical equipment operators","-0.895","-0.369","-0.293","-0.862","-0.989","-1.028","-0.603","-1.302","-0.44","-0.795","-0.822","-0.722","-0.152","-0.373","-0.076","-1.042","-1.3","-0.719","-1.278","-1.103","-1.656","0.165","-0.793","-0.775","-1.104","1.574","1.317","2.334","-0.661","-0.142","1.185","1.779","-0.276","1.813","1.525"
"74201: Water transport deck and engine room crew","4","Practical equipment operators","0.211","Practical equipment operators","-0.895","-0.369","-0.59","-1.129","-0.693","-1.028","-1.084","-0.653","-0.44","-0.038","-1.07","-0.974","-0.152","-0.373","-0.418","0.121","-0.31","-0.183","-0.466","-0.327","-0.086","-0.11","-0.004","-1.434","0.129","1.976","1.796","0.857","0.491","-1.199","1.575","1.472","-0.532","1.813","1.525"
"13102: Payroll administrators","3","Service focused","0.351","Service focused","-0.895","-0.369","-0.888","-0.862","-0.693","0.442","0.921","-0.003","-1.076","-1.572","-1.07","-1.206","-0.861","-0.659","-0.76","-1.263","-1.3","-1.48","-1","-1.103","0.161","-2.407","1.553","-1.434","-1.104","-1.117","-1.594","-1.46","-1.025","0.66","-1.159","-0.935","-0.532","-0.901","-1.573"
